cap,location
"As I passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the Study in Scarlet, I was seized with a keen desire to see Holmes again, and to know how he was employing his extraordinary powers.",['room']
"He appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home.",['room']
"By degrees Mr. Duncan Ross took to coming in only once of a morning, and then, after a time, he did not come in at all.",['room']
"Two hansoms were standing at the door, and as I entered the passage I heard the sound of voices from above.",['room']
"It ran in this way:  Mr. James McCarthy, the only son of the deceased, was then called and gave evidence as follows: 'I had been away from home for three days at Bristol, and had only just returned upon the morning of last Monday, the 3rd.",['room']
"Filled with the most maddening doubts and fears, she rushed down the lane and, by rare good-fortune, met in Fresno Street a number of constables with an inspector, all on their way to their beat.",['room']
"There were, it is true, some blood-stains upon his right shirt-sleeve, but he pointed to his ring-finger, which had been cut near the nail, and explained that the bleeding came from there, adding that he had been to the window not long before, and that the stains which had been observed there came doubtless from the same source.",['room']
"On returning, he found that Horner had disappeared, that the bureau had been forced open, and that the small morocco casket in which, as it afterwards transpired, the Countess was accustomed to keep her jewel, was lying empty upon the dressing-table.",['room']
As I approached the house I saw a tall man in a Scotch bonnet with a coat which was buttoned up to his chin waiting outside in the bright semicircle which was thrown from the fanlight.,['room']
Holmes walked slowly up and down the ill-trimmed lawn and examined with deep attention the outsides of the windows.,['room']
"A brown chest of drawers stood in one corner, a narrow white-counterpaned bed in another, and a dressing-table on the left-hand side of the window.",['room']
"As to his dress, it was careful to the verge of foppishness, with high collar, black frock-coat, white waistcoat, yellow gloves, patent-leather shoes, and light-coloured gaiters.",['room']
"It is likely that we should have gone on to Paris to-morrow, only that this good gentleman, Mr. Holmes, came round to us this evening, though how he found us is more than I can think, and he showed us very clearly and kindly that I was wrong and that Frank was right, and that we should be putting ourselves in the wrong if we were so secret.",['room']
"Holmes left us standing at the door and walked slowly all round the house, across the front, down the tradesmen's path, and so round by the garden behind into the stable lane.",['room']
"A chair had been placed close to the central window, with its back turned towards it.",['room']
"Round this corner were three doors in a line, the first and third of which were open.",['room']
Evidently there was a skylight which let in light from above.,['room']
"They had considered the federal offices, civil and military, as sources of great strength to the Federalists and Jefferson, though committed to the principle that offices should be open to all and distributed according to merit, was careful to fill most of the vacancies as they occurred with trusted Republicans.",['room']
"The _general symptoms_ of septic poisoning in cases of secondary haemorrhage vary widely in severity: they may be so slight that the general health is scarcely affected and the convalescence from an operation, for example, may be apparently normal except that the wound does not heal satisfactorily.",['room']
"The _X-ray appearances_ of the bones affected are of a striking character; apart from the outgrowths of bone or tumours there is evident a widespread alteration in the internal architecture of the bones, which suggests analogies with other disturbances of ossification such as achondroplasia and osteomyelitis fibrosa.",['room']
"The young man had not yet entered either the military or civil service, as he had only just returned from abroad where he had been educated, and this was his first appearance in society.",['room']
"But in spite of this lowest-grade greeting, a look of anxiety and fear, as at the sight of something too large and unsuited to the place, came over her face when she saw Pierre enter.",['room']
"Reaching the large house near the Horse Guards' barracks, in which Anatole lived, Pierre entered the lighted porch, ascended the stairs, and went in at the open door.",['room']
"He had not finished the last verse before the young people began to get ready to dance in the large hall, and the sound of the feet and the coughing of the musicians were heard from the gallery.",['room']
"The Military Governor of Moscow, who had been assiduous in sending aides-de-camp to inquire after the count's health, came himself that evening to bid a last farewell to the celebrated grandee of Catherine's court, Count Bezukhov.",['room']
"He took the glove in silence from the aide-de-camp, and sat down in the lady's chair, placing his huge hands symmetrically on his knees in the naive attitude of an Egyptian statue, and decided in his own mind that all was as it should be, and that in order not to lose his head and do foolish things he must not act on his own ideas tonight, but must yield himself up entirely to the will of those who were guiding him.",['room']
"The sick man was given something to drink, there was a stir around him, then the people resumed their places and the service continued.",['room']
"As soon as they saw Pierre and his companion they became silent, and Pierre thought he saw the princess hide something as she whispered:  I can't bear the sight of that woman.",['room']
"The princess looked in a scared way at her father's eyes glittering close to her; the red patches on her face came and went, and it was plain that she understood nothing and was so frightened that her fear would prevent her understanding any of her father's further explanations, however clear they might be.",['room']
"The prince, who generally kept very strictly to social distinctions and rarely admitted even important government officials to his table, had unexpectedly selected Michael Ivanovich (who always went into a corner to blow his nose on his checked handkerchief) to illustrate the theory that all men are equals, and had more than once impressed on his daughter that Michael Ivanovich was not a whit worse than you or I. At dinner the prince usually spoke to the taciturn Michael Ivanovich more often than to anyone else.",['room']
"He cautiously released the shoulder she leaned on, looked into her face, and carefully placed her in an easy chair.",['room']
Prince Andrew bowed his head in token of having understood from the first not only what had been said but also what Kutuzov would have liked to tell him.,['room']
But among these people Prince Andrew knew how to take his stand so that they respected and even feared him.,['room']
"Just as Prince Andrew met Nesvitski and Zherkov, there came toward them from the other end of the corridor, Strauch, an Austrian general who on Kutuzov's staff in charge of the provisioning of the Russian army, and the member of the Hofkriegsrath who had arrived the previous evening.",['room']
Even people who had formerly been spiteful toward him and evidently unfriendly now became gentle and affectionate.,['room']
"Some, as if unwilling to distract her from an important occupation, came up to her for a moment and made haste to go away, refusing to let her see them off.",['room']
"The little princess and Mademoiselle Bourienne had already received from Masha, the lady's maid, the necessary report of how handsome the minister's son was, with his rosy cheeks and dark eyebrows, and with what difficulty the father had dragged his legs upstairs while the son had followed him like an eagle, three steps at a time.",['room']
"The prince will be out in a moment, came the maid's voice at the door.",['room']
"What could all that matter in comparison with the will of God, without Whose care not a hair of man's head can fall?",['room']
"Now thousands of feet and bayonets moved and halted at the officers' command, turned with banners flying, formed up at intervals, and wheeled round other similar masses of infantry in different uniforms; now was heard the rhythmic beat of hoofs and the jingling of showy cavalry in blue, red, and green braided uniforms, with smartly dressed bandsmen in front mounted on black, roan, or gray horses; then again, spreading out with the brazen clatter of the polished shining cannon that quivered on the gun carriages and with the smell of linstocks, came the artillery which crawled between the infantry and cavalry and took up its appointed position.",['room']
"He was conscious that here he was in contact with the springs that set in motion the enormous movements of the mass of which in his regiment he felt himself a tiny, obedient, and insignificant atom.",['room']
